Patient ID: 17, Timestamp: 1713604174199, Label: ECG, Data: -0.545758854449471
Patient ID: 53, Timestamp: 1713604174209, Label: ECG, Data: -0.1265219740493293
Patient ID: 25, Timestamp: 1713604174208, Label: ECG, Data: -0.24975273603883175
Patient ID: 33, Timestamp: 1713604174210, Label: ECG, Data: 0.4369818863558608
Patient ID: 79, Timestamp: 1713604174212, Label: ECG, Data: 0.29477410870506016
Patient ID: 81, Timestamp: 1713604174202, Label: ECG, Data: 0.4895545268299681
Patient ID: 94, Timestamp: 1713604174201, Label: ECG, Data: 0.6880957753204617
Patient ID: 24, Timestamp: 1713604174213, Label: ECG, Data: 0.13553788973768677
Patient ID: 62, Timestamp: 1713604174244, Label: ECG, Data: 0.26412979071376136
Patient ID: 9, Timestamp: 1713604174248, Label: ECG, Data: 0.47616196065394434
Patient ID: 38, Timestamp: 1713604174251, Label: ECG, Data: -0.12700412987031603
Patient ID: 43, Timestamp: 1713604174252, Label: ECG, Data: 0.3269481378990089
Patient ID: 40, Timestamp: 1713604174252, Label: ECG, Data: -0.3194013223844254
Patient ID: 11, Timestamp: 1713604174253, Label: ECG, Data: 0.7502084790403609
Patient ID: 21, Timestamp: 1713604174253, Label: ECG, Data: 0.46708239563359194
Patient ID: 69, Timestamp: 1713604174254, Label: ECG, Data: 0.6429732969876083
Patient ID: 14, Timestamp: 1713604174254, Label: ECG, Data: -0.2301425847164596
Patient ID: 87, Timestamp: 1713604174255, Label: ECG, Data: -0.24295626069351903
Patient ID: 31, Timestamp: 1713604174255, Label: ECG, Data: 0.7253043985596174
Patient ID: 17, Timestamp: 1713604175202, Label: ECG, Data: 0.19980980324796976
Patient ID: 90, Timestamp: 1713604175203, Label: ECG, Data: -0.17542528899139365
Patient ID: 94, Timestamp: 1713604175203, Label: ECG, Data: 0.2410068328839608
Patient ID: 75, Timestamp: 1713604175204, Label: ECG, Data: 0.2135543912402155
Patient ID: 81, Timestamp: 1713604175204, Label: ECG, Data: -0.16452532117414123
Patient ID: 49, Timestamp: 1713604175206, Label: ECG, Data: -0.2604963780944263
Patient ID: 54, Timestamp: 1713604175207, Label: ECG, Data: 0.2785912354005271
Patient ID: 25, Timestamp: 1713604175208, Label: ECG, Data: 0.23348740644038052
Patient ID: 53, Timestamp: 1713604175209, Label: ECG, Data: 0.19204520983190881
Patient ID: 33, Timestamp: 1713604175210, Label: ECG, Data: 0.4195196943356825
Patient ID: 47, Timestamp: 1713604175210, Label: ECG, Data: -0.23421298497957657
Patient ID: 79, Timestamp: 1713604175212, Label: ECG, Data: -0.22039445610293845
Patient ID: 24, Timestamp: 1713604175214, Label: ECG, Data: -0.484683107924817
Patient ID: 6, Timestamp: 1713604175216, Label: ECG, Data: -0.35623112197187357
Patient ID: 16, Timestamp: 1713604175237, Label: ECG, Data: 0.0487893273505328
Patient ID: 26, Timestamp: 1713604175237, Label: ECG, Data: 0.05355771805824116
Patient ID: 63, Timestamp: 1713604175239, Label: ECG, Data: 0.10270455492322704
Patient ID: 2, Timestamp: 1713604175240, Label: ECG, Data: 0.26032610961342206
Patient ID: 62, Timestamp: 1713604175244, Label: ECG, Data: 0.14971788277440654
Patient ID: 34, Timestamp: 1713604175246, Label: ECG, Data: -0.29922892090818703
Patient ID: 9, Timestamp: 1713604175248, Label: ECG, Data: -0.006950193202377289
Patient ID: 50, Timestamp: 1713604175249, Label: ECG, Data: 0.04455780396605834
Patient ID: 23, Timestamp: 1713604175250, Label: ECG, Data: 0.2408168227580101
Patient ID: 38, Timestamp: 1713604175251, Label: ECG, Data: -0.07296820122468443
Patient ID: 43, Timestamp: 1713604175252, Label: ECG, Data: -0.30921917341621014
Patient ID: 19, Timestamp: 1713604175252, Label: ECG, Data: -0.5287039878380733
Patient ID: 11, Timestamp: 1713604175253, Label: ECG, Data: 0.20492846568692225
Patient ID: 60, Timestamp: 1713604175253, Label: ECG, Data: -0.37406606197285025
Patient ID: 40, Timestamp: 1713604175252, Label: ECG, Data: -0.46826483795569024
Patient ID: 3, Timestamp: 1713604175253, Label: ECG, Data: 0.006844473225017529
Patient ID: 98, Timestamp: 1713604175253, Label: ECG, Data: 0.25486939167779255
